,symbol,HotScore,TrendScore,regularMarketPrice,regularMarketChangePercent,VolumeSpike,averageDailyVolume3Month,MomentumScore,VolumeScore,VolatilityScore,marketCap
82,FBIN,0.7985138004246284,0.5902335456475584,44.65,9.8401,1.329073624310509,2612072.0,0.9745222929936306,0.7367303609341825,0.70276008492569,5326451200.0
83,FISV,0.7704918032786886,0.639344262295082,49.645,3.6213746,0.937235596025332,6718649.0,0.7431693989071039,0.9289617486338798,0.6065573770491803,26473394176.0
84,FLEX,0.8155637254901961,0.6715686274509803,161.075,6.9129114,0.8361341368941712,6589835.0,0.9411764705882352,0.6887254901960784,0.8897058823529411,59014324224.0
85,FNV,0.8477272727272727,0.9282296650717704,221.88,5.9295316,1.6103291221030478,854303.0,0.7200956937799043,0.937799043062201,0.8732057416267942,42790789120.0
86,FOUR,0.8532908704883228,0.6475583864118896,44.22,14.3522,1.4851986872151648,1754743.0,0.9957537154989384,0.8046709129511678,0.7919320594479831,4383526400.0
87,FRMI,0.7766272189349113,0.1390532544378698,8.66,9.898474,2.235002645301482,17412004.0,0.9822485207100592,0.9467455621301776,0.4378698224852071,5525801472.0
88,GDDY,0.8263269639065818,0.6836518046709129,81.33,6.87254,1.5436325638893544,2530312.0,0.89171974522293,0.832271762208068,0.772823779193206,10768892928.0
89,GEF-B,0.7844961240310077,0.992248062015504,88.6,3.4563277,1.0851456765621983,36279.0,0.627906976744186,0.9844961240310076,0.6046511627906976,3355940352.0
90,GEHC,0.8318181818181817,0.6161616161616161,63.72,5.07916,1.5029723346418573,4936860.0,0.9242424242424242,0.8535353535353535,0.73989898989899,28985704448.0
91,GEV,0.8826923076923077,0.9763313609467456,1048.86,6.7705,1.3398062627741485,2640587.0,0.9289940828402368,0.742603550295858,1.0,281849659392.0
92,GFI,0.8034688995215309,0.6004784688995215,39.46,8.109587,1.2478841565715242,3372414.0,0.8899521531100478,0.8732057416267942,0.631578947368421,35293757440.0
93,GIL,0.8865384615384615,0.8550295857988166,53.13,5.54231,4.452432863275002,1308561.0,0.8727810650887574,0.9881656804733728,0.7485207100591716,9838664704.0
94,GLW,0.910906862745098,0.6299019607843137,222.5801,8.137828,1.5011082816429475,13141064.0,0.9583333333333334,0.9264705882352942,0.9411764705882352,191560843264.0
95,GRBK,0.8118895966029724,0.9341825902335456,80.22,7.60563,1.2308904207150473,231677.0,0.9256900212314224,0.6709129511677282,0.7983014861995754,3461056000.0
96,GRND,0.7229508196721312,0.6612021857923497,13.27,5.067302,0.4883188868566067,1453757.0,0.8907103825136612,0.7486338797814208,0.4153005464480874,2358423808.0
97,GWRE,0.8915404040404039,0.8459595959595959,109.63,6.7582,1.3890982629961748,1594700.0,0.9848484848484848,0.8156565656565656,0.8838383838383839,9127395328.0
98,HD,0.8190021231422504,0.7855626326963907,342.86,5.67421,1.3590629237072387,4684101.0,0.8046709129511678,0.7600849256900213,0.9639065817409768,341871394816.0
99,HEI-A,0.8524572649572649,0.9401709401709402,257.47,4.67537,1.785072790414204,347848.0,0.7649572649572649,0.903846153846154,0.8717948717948718,35958075392.0
100,HIMS,0.6786885245901639,0.3825136612021858,31.78,5.336429,0.3873447000053869,26582744.0,0.918032786885246,0.5901639344262295,0.5628415300546448,7355725824.0
101,HL,0.7564593301435407,0.2057416267942583,16.54,8.175284,1.7612267311272451,15763226.0,0.8923444976076556,0.9545454545454546,0.4473684210526316,11093583872.0
102,HLNE,0.6180790960451977,0.9209039548022598,87.1665,6.313573,0.2066317493912571,894877.0,0.9378531073446328,0.0677966101694915,0.8700564971751412,4840688128.0
103,HNGE,0.8412990196078431,0.7671568627450981,74.04,4.9319777,1.3237697010869565,1472000.0,0.8799019607843137,0.8970588235294118,0.7132352941176471,5729224704.0
104,HOOD,0.9050295857988166,0.5,105.2,8.778821,2.2808223114941986,30167984.0,0.9792899408284024,0.9497041420118344,0.8994082840236687,94733131776.0
105,HRI,0.8705128205128206,0.8675213675213675,153.0,6.8212,1.529549707503751,593170.0,0.9273504273504274,0.8247863247863247,0.8525641025641025,5109136896.0
106,HSY,0.7797979797979799,0.8737373737373737,179.27,4.90374,1.057357882504438,2045473.0,0.9090909090909092,0.5555555555555556,0.898989898989899,36363730944.0
107,HUBB,0.8161202185792349,0.994535519125683,512.955,4.74241,0.4061120947700223,629735.0,0.8633879781420765,0.6284153005464481,0.9726775956284152,27105454080.0
108,IBM,0.9088383838383838,0.7727272727272727,264.94,5.04322,1.8518567527665,8259985.0,0.9217171717171716,0.9217171717171716,0.9318181818181818,249013223424.0
109,ICLR,0.9466029723991508,0.861995753715499,158.17,10.8642,2.05347661576744,1171858.0,0.9830148619957536,0.929936305732484,0.954352441613588,12116065280.0
110,IESC,0.8908704883227176,0.9936305732484076,747.49,5.20027,2.102223789374706,212700.0,0.7600849256900213,0.9384288747346072,0.9851380042462844,14892906496.0
111,ILMN,0.8593418259023354,0.8174097664543525,175.09,6.16019,1.5531479549395857,1702248.0,0.8535031847133758,0.8428874734607219,0.9193205944798302,26491115520.0
112,INFQ,0.833459595959596,0.2297979797979798,15.96,12.3153,2.896860501434586,14586788.0,0.9949494949494948,0.9772727272727272,0.601010101010101,3482422528.0
113,INOD,0.905367231638418,0.8926553672316384,109.04,9.411998,0.5464981207933978,1827633.0,0.9943502824858758,0.807909604519774,0.9265536723163842,3560740352.0
114,IQV,0.7977707006369427,0.8259023354564756,185.62,8.37225,1.1011296199927498,1646837.0,0.951167728237792,0.5498938428874734,0.9490445859872612,30979977216.0
115,IRTC,0.8999999999999999,0.9494949494949496,110.12,5.18674,1.613192088574838,512019.0,0.9292929292929292,0.8888888888888888,0.8434343434343434,3618808576.0
116,IX,0.5903100775193798,0.813953488372093,39.57,3.0200465,0.3369936767612786,366268.0,0.4263565891472868,0.8062015503875969,0.3875968992248062,42447060992.0
117,JBTM,0.6893442622950819,0.9672131147540984,132.665,3.9775822,0.3281453045458339,503274.0,0.7978142076502732,0.3989071038251366,0.8688524590163934,6907575808.0
118,JPM,0.6556497175141243,0.8248587570621468,329.74,3.237319,0.3350351256065527,8989738.0,0.6666666666666666,0.4350282485875706,0.9378531073446328,883541999616.0
119,KBH,0.9477707006369426,0.732484076433121,61.51,16.6509,3.637814094387755,1254400.0,1.0,0.9915074309978767,0.8874734607218684,3850525952.0
120,KD,0.7240437158469943,0.5027322404371585,12.17,5.1858287,0.5252240501535743,4016623.0,0.9016393442622952,0.7923497267759563,0.4043715846994535,2743692544.0
121,KEEL,0.6901129943502825,0.0734463276836158,5.955,5.2120156,0.6904918923166802,39460039.0,0.8983050847457628,0.903954802259887,0.2598870056497175,3595799808.0
122,KFY,0.908080808080808,0.9292929292929292,71.72,5.82855,1.788408379404516,480416.0,0.9646464646464646,0.914141414141414,0.7878787878787878,3721341952.0
123,KLIC,0.9305084745762712,0.943502824858757,121.525,5.2756996,1.1132691948937985,750460.0,0.9096045197740112,0.9661016949152542,0.8983050847457628,6359752704.0
124,KNSL,0.834090909090909,0.9848484848484848,304.48,3.19608,1.853962378436585,297170.0,0.6565656565656566,0.9242424242424242,0.9116161616161615,7022167552.0
125,KRYS,0.9088757396449704,0.9940828402366864,341.66,5.6560626,1.7594667590027702,288800.0,0.8757396449704142,0.8875739644970414,0.9615384615384616,10072053760.0
126,KYMR,0.964093137254902,0.875,113.56,13.707815,5.011084671604022,635833.0,0.982843137254902,0.9950980392156864,0.9215686274509804,9341170688.0
127,LAZ,0.7553672316384181,0.8022598870056498,45.69,3.6994944,0.5785157056476481,1516047.0,0.751412429378531,0.8418079096045198,0.5875706214689266,4497617920.0
128,LBRDA,0.77260101010101,0.9343434343434344,30.82,4.97275,1.200725450523645,190778.0,0.9166666666666666,0.7070707070707071,0.5542929292929293,4433804288.0
